ItemCode,ItemName,LastPurDat,ItmsGrpCod,ItmsGrpNam,Categoria_CI,Subcategoria_CI,Bodega,Stock_Bodega,Precio_B2B_Estandar,Precio_B2B_VIP,Precio_B2C,Precio_Promociones_Ecommerce,Ventas_2024,Ventas_2025,Ventas_2026,Ventas_Total_29_5_Meses,Alcance_Inventario_Meses,Alcance_Inventario_Meses_Redondeado
3RH29111DA11,"bloque de contactos auxiliares, lateral, 1 NA + 1 NC, izquierda: 41/42, 53/54, derecha: 21/22, 33/34, circuito: 1 NC, 1 NA, borne de tornillo, para contactores 3RT2.1",2025-09-02,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,5.0,14.9,14.1,16.6,0.0,83.0,27.0,12.0,122.0,1.2090163934426228,1
Q115,"Interruptor de 15 A 1P 120 V 10 K QP10,  KAICSIEMENS",2025-09-02,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CENTROS DE CARGA E INTERRUPTORES,11,25.0,6.1,5.8,6.8,0.0,10.0,11.0,0.0,21.0,35.11904761904762,35
3RT20251BB40,"contactor de potencia, AC-3e/AC-3, 17 A, 7,5 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S0",2025-08-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,6.0,104.2,98.4,115.7,0.0,7.0,7.0,0.0,14.0,12.642857142857142,13
6ES72141HG400XB0,"SIMATIC S7-1200, CPU 1214C, CPU compacta, DC/DC/rele, E/S integradas: 14 DI 24 V DC; 10 DO, rele 2 A; 2 AI 0-10 V DC, alimentacion: DC 20,4-28,8 V DC, memoria de programas/datos 150 KB",2025-08-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,4.0,593.8,560.8,659.8,0.0,5.0,4.0,1.0,10.0,11.8,12
6ED10554MH080BA1,"visualizador de texto LOGO! TD, de 6 lineas, 3 colores de fondo, 2 puertos Ethernet, accesorios de montaje para LOGO! 8",2025-08-27,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,12.0,200.4,189.3,222.7,0.0,14.0,27.0,2.0,43.0,8.232558139534884,8
3RH21221AK60,"contactor auxiliar, 2 NA + 2 NC, 110 V AC, 50 Hz/120 V, 60 Hz, bornes de tornillo, tamaño S00",2025-08-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,3.0,48.8,46.1,54.3,0.0,3.0,2.0,0.0,5.0,17.7,18
MX:B220,"Interruptor 20 A, 2P, 120/240 V, 10K  BL10 K AIC SIEMENS",2025-08-19,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CENTROS DE CARGA E INTERRUPTORES,11,1.0,15.0,14.2,16.7,0.0,6.0,9.0,0.0,15.0,1.9666666666666666,2
3NA3817,"cartucho de fusibles NH, NH000, Entrada: 40 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusion superior, orejetas energizadas",2025-07-31,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,FUSIBLES,11,5.0,7.1,6.7,7.9,0.0,0.0,9.0,0.0,9.0,16.38888888888889,16
3RA29211AA00,Bloque de conexión para borne de tornillo eléctrico y mecánico para 3RV2.1/3RV2.2 y 3RT2.2. Mando por AC,2025-07-31,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,8.0,6.7,6.3,7.5,0.0,16.0,15.0,0.0,31.0,7.612903225806451,8
Q320,"Siemens Low Voltage Interruptores automaticos residenciales Interruptores pequenos termomagneticos Interruptores - Tipo QP/MP 3 polos 240 V AC son protecciones de circuito, redes de centro de",2025-07-31,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CENTROS DE CARGA E INTERRUPTORES,11,4.0,30.1,28.4,33.4,0.0,2.0,0.0,0.0,2.0,59.0,59
